staff_id,height,weight,qualification,salary
30001,196.9,89.39,本科,12968
30002,179.8,59.18,硕士,6479
30003,174.2,43.4,本科,18844
30004,184.3,71.49,本科,10386
30005,151.5,52.14,本科,6822
30006,191.4,89.45,博士,5277
30007,152.3,88.6,本科,9311
30008,195.5,40.46,本科,4203
30009,153.8,47.11,本科,4537
30010,192.8,80.84,博士,10964
30011,182,89.83,本科,14965
30012,180.1,57.59,博士,16945
30013,181.9,68.07,硕士,7647
30014,152.9,37.22,本科,13663
30015,152.4,74.96,本科,-527
30016,152.2,81.96,硕士,11003
30017,184.4,36.36,本科,14647
30018,150.7,61.33,博士,16191
30019,191.4,74.73,博士,7057
30020,185.5,35.27,博士,21385
30021,167.2,58.32,本科,12518
30022,170.1,59.11,硕士,13891
30023,180.9,56.33,本科,15581
30024,176.7,82.33,博士,4386
30025,197.5,43.37,硕士,5049
30026,176.2,66.13,本科,10766
30027,163.1,52.54,博士,22095
30028,192.5,36.21,硕士,11057
30029,193.5,87.21,博士,17166
30030,165.4,55.18,硕士,18485
30031,166.7,87.72,博士,13807
30032,178.6,59.68,本科,14765
30033,171,42.48,博士,8650
30034,184.8,44.33,硕士,5907
30035,155.3,49.38,博士,8733
30036,156.2,35.01,博士,6051
30037,164.5,89.11,博士,8021
30038,168.2,74.38,硕士,16844
30039,170.7,65.09,博士,10899
30040,193.2,75.53,博士,14004
30041,186.8,81.96,硕士,9663
30042,188.6,43.18,硕士,9801
30043,184.2,69.12,本科,5145
30044,154.3,54.08,硕士,9942
30045,175.4,69.33,硕士,19359
30046,156,66.13,硕士,13577
30047,157.8,63.32,博士,16483
30048,154.7,38.98,本科,10353
30049,159.6,44.9,本科,10820
30050,162.5,46.48,博士,15699
30051,177.3,49.22,博士,15669
30052,193.7,36.36,本科,11706
30053,180.3,61.1,硕士,13389
30054,190.9,72.08,本科,19210
30055,180.9,62.11,本科,12366
30056,198.2,47.95,硕士,6595
30057,188.6,54.4,博士,19732
30058,150.9,87.72,本科,8011
30059,185.9,45.25,本科,18239
30060,183.3,82,博士,9753
30061,197.6,72.64,硕士,6270
30062,196.7,89.08,博士,9309
30063,154.4,56.69,硕士,13797
30064,171.6,39.77,硕士,16697
30065,192.7,62.73,硕士,12351
30066,192.2,50.06,硕士,10543
30067,151.6,62.33,硕士,18028
30068,162.7,78.1,硕士,3039
30069,172.1,80.41,硕士,15553
30070,174.6,82.97,本科,21555
30071,161.4,82.72,博士,7143
30072,176.8,45.36,硕士,17016
30073,180.7,73.64,硕士,21219
30074,165.5,72.79,博士,9266
30075,166.2,42.99,本科,6770
30076,179.1,78.87,博士,17533
30077,183.7,71.34,硕士,8017
30078,161.8,43.53,博士,4551
30079,174.3,59.82,硕士,5267
30080,181.5,66.82,本科,15593
30081,167.4,52.7,博士,15179
30082,162.5,53.44,博士,14595
30083,185.9,68.07,硕士,20283
30084,176,67.76,本科,11479
30085,163.7,45.68,博士,8579
30086,159.7,84.87,本科,14682
30087,174.3,78.82,本科,19050
30088,184.7,87.62,本科,12870
30089,153.2,48.96,硕士,6421
30090,178.8,46.8,硕士,7096
30091,165.6,64.24,博士,12750
30092,177.9,40.18,博士,8755
30093,189.6,62.39,硕士,8727
30094,163.7,60.59,博士,15125
30095,194.7,47.81,本科,10755
30096,154,75.3,博士,12353
30097,177.7,73.55,本科,6019
30098,174.6,73.24,博士,5768
30099,161.5,85.45,本科,5901
30100,162.4,43.71,硕士,7335
30101,180,88.32,本科,7523
30102,191.4,52.68,本科,17672
30103,192.1,44.62,本科,9698
30104,168.4,61.99,硕士,20080
30105,187,40.02,硕士,10121
30106,183.6,35.93,本科,19081
30107,167.1,50.75,博士,12959
30108,193.5,74.41,硕士,7334
30109,185,70.82,博士,13715
30110,196.9,61.11,博士,16556
30111,167.7,71.67,硕士,6149
30112,163.3,41.98,本科,10008
30113,167.5,85.95,博士,10256
30114,182.6,71.42,硕士,6136
